,회사이름,채용공고,회사평점,회사지역,자격요건
289,버즈빌(주),[모바일게임] 콘텐츠 기획자,4.1,서울,"버즈빌의 머신러닝 리드는 노출형 광고팀에 소속되어 광고주들에게 최상의 광고 성과를 안겨 주고 동시에 버즈빌의 수익을 극대화하는 광고 추천 시스템을 개발합니다. CTR 예측, 구매전환율 예측, 상품 추천, 어뷰징 방지 등과 같은 ad-tech 플랫폼 내의 세부 문제들에 대하여 최적의 모델을 찾아 해결합니다. 또 버즈빌의 비지니스 구조와 데이터 자산을 파악하여 ML로 잘 풀 수 있는 문제를 정의하고 과제와 팀을 조직화 합니다. ML 엔지니어들의 생산성과 비지니스 기여도를 높이기 위한 ML 파이프라인을 설계합니다."
290,줌인터넷(주),서비스 운영 담당자 (리드급),2.7,서울,"[이런 역량을 갖춘 분을 찾습니다]
• 서비스 운영 기획 분야에서 7년 이상 또는 그에 준하는 경력이 있으신 분
• 서비스 운영 조직을 이끌어 보신 분
• 사용자를 분석하고, 분석 결과를 바탕으로 서비스 및 콘텐츠 운영 경험이 있으신 분
• 운영 현황 분석을 위한 데이터 정리 기본 툴(GA, 데이터스튜디오, 엑셀 등) 사용이 능숙하신 분
• 다양한 유관부서 관계자와 효과적으로 커뮤니케이션하며 협업할 수 있으신 분
• 포트폴리오 제출 必"
291,줌인터넷(주),비교대출 제휴 및 운영 매니저,2.7,서울,"[이런 역량을 갖춘 분을 찾습니다]
• 서비스 운영 기획 분야에서 7년 이상 또는 그에 준하는 경력이 있으신 분
• 서비스 운영 조직을 이끌어 보신 분
• 사용자를 분석하고, 분석 결과를 바탕으로 서비스 및 콘텐츠 운영 경험이 있으신 분
• 운영 현황 분석을 위한 데이터 정리 기본 툴(GA, 데이터스튜디오, 엑셀 등) 사용이 능숙하신 분
• 다양한 유관부서 관계자와 효과적으로 커뮤니케이션하며 협업할 수 있으신 분
• 포트폴리오 제출 必"
292,핀다,보험사TF_보험계리 담당자,4.0,서울,"• 핀다 주요 프로덕트인 '비교대출'의 신규 제휴사를 발굴하고 기존 제휴사를 관리합니다.
• 비교대출 서비스 운영 및 정산 관리를 담당합니다.
• 제휴사와 긴밀한 네트워크를 구축하여 각종 협상 및 원가 개선 등의 업무를 진행합니다.
• 금감원, 금융위 등 대관 요청에 대한 대응을 지원합니다"
293,(주)핏펫,MLOps Engineer(NetsPresso팀),3.6,서울,"- 반려동물 전문 보험사 설립에 따른 사업연도별 사업 및 지급여력비율 계획을 수립합니다.
- 반려동물 보험 시장에 혁신적인 상품을 개발합니다.
- 유관부서 및 관공서와의 협업을 주도적으로 진행합니다."
294,(주)노타,시니어 프론트엔드 소프트웨어 개발자,4.7,서울,"노타의 MLOps Engineer 는 딥러딩 기반으로 사용자가 활용 가능한 딥러닝 기반의 파이프라인 서비스를 개발하는 기여하는 것을 목표로 합니다. 

데이타 관리, 모델 학습,  모니터링, 배포 등 각 단계 별 자동화 프로세스를 만들고 나아가서는 이를 유기적으로 통합하는 것을 목표로 하며, 이는 고객 뿐 아니라 노타의 크루들에도 도움이 되는 환경이 될 것입니다 .

이외에도 딥러닝 모델 학습 및 배포를 위해 서버를 사용할 때 생산성을 높일 수 있는 서버 관련 업무와 서비스 개발팀과 협업을 통해 모델의 배포, 운영, 모니터링 등의 전 과정에 필요한 부분을 만들어 나갈 수 있습니다.

- 코드 기반 서비스  인프라 구축 및 운영 및 서비스 API 개발 지원(IaC)
- 학습 데이터의 데이터 수집, 전처리, 가공 및 분석환경 개발
- 하이브리드 업무 환경 개발 및 관리(on-premise/Cloud)
- 모델 트레이닝, 모델 배포 파이프라인 구축 및 운영
- 대량의 학습 db 및 실험 관리"
295,(주)몰로코,온라인 광고 마케팅 영업직,4.3,서울,"• IT 서비스 업계에서 최소 6년 이상 Front-end 개발 경험 보유
• Data structure 및 알고리즘을 활용한 수준급의 문제해결 역량
• 최소 1개 이상의 프로그래밍 언어를 통한 소프트웨어 개발 기술 (개발언어 무관)"
296,(주)데이원컴퍼니 레모네이드,퍼포먼스 마케터 주니어 (1년 이상),2.4,서울,"이런분들과 함께하고 싶습니다


- Data-driven 사고와 데이터 분석 툴 (GA, Optimize 등) 사용 경험을 토대로, 최소 1년 이상의 퍼포먼스 마케팅 경력이 있는 분이 필요합니다.

- 인하우스에서 마케터로서 Self Serve 매체(Facebook, 인스타그램 등) 전략, 예산을 직접 수립해본 분이 필요합니다.

- 본인의 의견을 다양한 상황에서 이야기할 수 있는 분을 선호합니다.

- 다양한 시도와 도전을 두려워 하지 않고 성과를 내고자 하는 의지가 강하신 분이면 좋습니다.

- 빠르게 변화하는 환경 속에서도 적응하면서 능동적으로 일하실 수 있는 분을 선호합니다."
297,(주)데이원컴퍼니 레모네이드,항공 및 로보틱스 엔지니어,2.4,서울,"이런분들과 함께하고 싶습니다


- Data-driven 사고와 데이터 분석 툴 (GA, Optimize 등) 사용 경험을 토대로, 최소 1년 이상의 퍼포먼스 마케팅 경력이 있는 분이 필요합니다.

- 인하우스에서 마케터로서 Self Serve 매체(Facebook, 인스타그램 등) 전략, 예산을 직접 수립해본 분이 필요합니다.

- 본인의 의견을 다양한 상황에서 이야기할 수 있는 분을 선호합니다.

- 다양한 시도와 도전을 두려워 하지 않고 성과를 내고자 하는 의지가 강하신 분이면 좋습니다.

- 빠르게 변화하는 환경 속에서도 적응하면서 능동적으로 일하실 수 있는 분을 선호합니다."
298,(주)니어스랩,[랩노쉬] 퍼포먼스마케터,3.2,서울,"• 항공우주공학과/기계공학과/전자공학과 혹은 관련 전공 석사/박사 졸업자
• Aerospace / Robotics 관련 dynamics, path planning, guidance, navigation, control 등에 대한 기본적 이해 및 연구개발 경험
• C, C++, Python, MATLAB 프로그램 개발 경험"
299,(주)이그니스,컨텐츠 관리 운영,3.2,서울,"1. 인하우스 혹은 디지털 대행사 퍼포먼스 마케터 경력 2년 이상
 2. META(FACEBOOK, Instagram), Google ads, GFA 등 디지털 매체 광고 직접 운영 경험
 3. Google Analytics 등 어트리뷰션, 트래킹 Tool을 활용한 데이터 분석 가능하신 분 
 4. 목적에 따른 미디어믹스 구성 및 캠페인 기획 관리 경험
 5. 유관부서 간 원활한 커뮤니케이션 능력
 *(선택) 포트폴리오 제출 : 본인이 담당한 업무 과정 중심(기여도, 역할 상세 등 기재)"
